Ref,Val,Package,PosX,PosY,Rot,Side
"C3","1Uf","C_0504_1310Metric",-151.150000,-105.340000,-90.000000,bottom
"D1","PRTR5V0U2X","SOT-143",-159.900000,-105.050000,0.000000,bottom
"F1","500m","Fuse_0805_2012Metric",-167.100000,-108.887500,90.000000,bottom
"G***","LOGO","4.1-mm-dn-silk",-161.450000,-116.400000,180.000000,bottom
"G***","LOGO","why",-167.400000,-101.250000,180.000000,bottom
"G***","LOGO","3.7x3.7mm-lg-copper",-166.400000,-116.250000,180.000000,bottom
"JP1","Jumper","C_0402_1005Metric",-152.900000,-116.950000,180.000000,bottom
"R1","10k","R_0402_1005Metric",-152.250000,-114.900000,-90.000000,bottom
"R2","22","R_0402_1005Metric",-153.350000,-105.350000,90.000000,bottom
"R3","22","R_0402_1005Metric",-154.400000,-105.350000,90.000000,bottom
"R4","5.1k","R_0402_1005Metric",-166.050000,-103.650000,90.000000,bottom
"R5","5.1k","R_0402_1005Metric",-164.900000,-103.650000,90.000000,bottom
"R6","10k","R_0402_1005Metric",-153.400000,-114.900000,90.000000,bottom
"U1","ATmega32U2-MU","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",-153.600000,-110.000000,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",-159.500000,-94.350000,0.000000,bottom
"Y1","Resonator_Small","Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm",-163.350000,-108.800000,-90.000000,bottom
"G***","LOGO","4.1-mm-dn-silk",161.450000,-116.400000,0.000000,top
"G***","LOGO","why",167.150000,-101.100000,0.000000,top
"G***","LOGO","3.7x3.7mm-lg-copper",166.250000,-116.300000,0.000000,top
"MX1","MX-NoLED","MXOnly-1U-NoLED-3pin",159.500000,-109.550000,180.000000,top
